City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Lakefield,US,43.6775,-95.1717,69.51,76,40,34.52,scattered clouds
307,Bandarbeyla,SO,9.4942,50.8122,83.03,76,4,10.29,clear sky
308,San Vicente De Canete,PE,-13.0751,-76.3835,71.67,78,74,6.13,broken clouds
309,Awash,ET,8.9833,40.1667,83.55,41,68,16.58,broken clouds
310,Yongzhou,CN,26.4559,111.5988,71.91,92,52,0.89,broken clouds
311,Aktau,KZ,43.65,51.2,52.38,61,1,8.77,clear sky
312,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,67.53,37,0,10.22,clear sky
313,Ukiah,US,39.1502,-123.2078,58.44,74,0,1.99,clear sky
314,Meulaboh,ID,4.1363,96.1285,78.39,87,93,0.69,overcast clouds
315,Sur,OM,22.5667,59.5289,87.31,45,19,6.53,few clouds
316,Roald,NO,62.5833,6.1333,59.92,76,0,10.36,clear sky
317,Lavrentiya,RU,65.5833,-171.0,14.0,86,19,5.64,few clouds
318,Thomasville,US,35.8826,-80.082,80.94,57,6,3.0,clear sky
319,Ajdabiya,LY,30.7554,20.2263,68.27,51,0,19.1,clear sky
320,Sitka,US,57.0531,-135.33,48.09,57,100,17.27,overcast clouds
321,Leningradskiy,RU,69.3833,178.4167,17.04,96,100,2.71,overcast clouds
322,Yelizovo,RU,53.1873,158.3805,32.11,100,100,2.51,overcast clouds
323,Bethel,US,41.3712,-73.414,65.17,37,100,6.91,overcast clouds
324,Hofn,IS,64.2539,-15.2082,44.91,82,1,4.94,clear sky
325,Gunjur,GM,13.2019,-16.7339,77.72,56,40,14.16,scattered clouds
326,Omagari,JP,39.45,140.4833,41.16,88,43,2.48,scattered clouds
327,Port Elizabeth,ZA,-33.918,25.5701,62.31,96,75,3.44,broken clouds
328,Havelock,US,34.8791,-76.9013,77.95,65,0,1.99,clear sky
329,Olinda,BR,-8.0089,-34.8553,83.93,74,75,14.97,broken clouds
330,Beringovskiy,RU,63.05,179.3167,19.26,97,100,2.82,overcast clouds
331,Kruisfontein,ZA,-34.0033,24.7314,59.88,90,93,2.95,overcast clouds
332,Ujjain,IN,23.1833,75.7667,89.98,16,3,8.5,clear sky
333,Escarcega,MX,18.6089,-90.7454,92.08,35,2,5.53,clear sky
334,Norman Wells,CA,65.282,-126.8329,30.97,87,56,11.7,broken clouds
335,High Rock,BS,26.6208,-78.2833,77.02,65,22,19.17,few clouds
336,Rudbar,AF,30.15,62.6,86.56,17,81,9.08,broken clouds
337,Parvatipuram,IN,18.7833,83.4333,84.24,68,96,5.1,overcast clouds
338,Shimoda,JP,34.6667,138.95,65.1,87,100,5.79,overcast clouds
339,Kavaratti,IN,10.5669,72.642,85.35,70,100,7.05,overcast clouds
340,Maniitsoq,GL,65.4167,-52.9,32.86,100,100,9.37,snow
341,East London,ZA,-33.0153,27.9116,63.12,93,100,4.83,moderate rain
342,Gallup,US,35.5281,-108.7426,50.76,39,0,9.22,clear sky
343,Mosjoen,NO,65.836,13.1908,42.82,83,13,3.56,few clouds
344,Saint Anthony,US,45.0205,-93.218,69.84,75,0,23.02,clear sky
345,Letka,RU,59.6011,49.4232,40.28,90,100,5.59,overcast clouds
346,Laohekou,CN,32.3858,111.6678,66.18,87,51,2.59,broken clouds
347,Plettenberg Bay,ZA,-34.0527,23.3716,61.68,85,96,1.59,overcast clouds
348,Camana,PE,-16.6228,-72.7111,72.64,71,41,9.84,scattered clouds
349,Itarema,BR,-2.9248,-39.9167,75.38,93,97,7.49,moderate rain
350,Opuwo,NA,-18.0607,13.84,75.56,32,46,5.12,scattered clouds
351,Mount Gambier,AU,-37.8333,140.7667,50.04,91,0,6.58,clear sky
352,Juazeiro,BR,-9.4117,-40.4986,89.78,45,40,9.22,light rain
353,Minuri,PH,16.535,121.8574,72.27,90,11,3.49,few clouds
354,Khujner,IN,23.7833,76.6,90.39,12,0,7.31,clear sky
355,Kavieng,PG,-2.5744,150.7967,82.11,75,67,12.08,broken clouds
356,Atar,MR,20.5169,-13.0499,92.03,14,1,16.04,clear sky
357,Barra Da Estiva,BR,-13.6261,-41.3269,78.96,48,100,6.53,overcast clouds
358,Ponta Delgada,PT,37.7333,-25.6667,56.12,94,75,17.27,light intensity drizzle
359,Gold Coast,AU,-28.0,153.4333,66.0,93,40,8.05,scattered clouds
360,Sobolevo,RU,54.4299,31.8996,46.47,87,100,14.16,overcast clouds
361,Hobyo,SO,5.3505,48.5268,84.18,71,56,13.49,broken clouds
362,Senneterre,CA,48.3835,-77.2328,40.32,44,100,5.01,overcast clouds
363,Fairbanks,US,64.8378,-147.7164,38.61,65,0,5.75,clear sky
364,Uribia,CO,11.7139,-72.266,87.1,51,100,8.01,overcast clouds
365,Yantal,RU,56.8471,105.2542,22.71,93,100,8.95,light snow
366,Gravdal,NO,68.1214,13.5031,41.97,78,11,5.1,few clouds
367,Manokwari,ID,-0.8667,134.0833,78.4,83,95,4.14,overcast clouds
368,Tessalit,ML,20.1986,1.0114,95.83,5,43,16.17,scattered clouds
369,Owando,CG,-0.4819,15.8999,71.67,98,100,4.12,overcast clouds
370,Portland,US,45.5234,-122.6762,55.29,81,75,5.75,broken clouds
371,Benesov Nad Ploucnici,CZ,50.7416,14.3124,59.18,60,40,6.22,scattered clouds
372,Durango,MX,24.8333,-104.8333,77.92,14,1,0.92,clear sky
373,Half Moon Bay,US,37.4636,-122.4286,63.14,68,0,3.44,clear sky
374,Clyde River,CA,70.4692,-68.5914,5.72,74,9,2.71,clear sky
375,Sibolga,ID,1.7427,98.7792,78.69,88,100,3.29,overcast clouds
376,Lagoa,PT,39.05,-27.9833,56.98,63,79,22.24,broken clouds
377,Brae,GB,60.3964,-1.353,47.7,83,94,15.41,overcast clouds
378,Trat,TH,12.5,102.5,82.87,89,13,2.59,few clouds
379,Airai,TL,-8.9266,125.4092,59.02,73,22,2.28,few clouds
380,Porto Novo,BJ,6.4965,2.6036,84.6,69,80,10.22,light rain
381,Domanivka,UA,47.6319,30.9885,53.19,62,95,16.64,overcast clouds
382,Harper,LR,4.375,-7.7169,83.61,71,98,7.11,overcast clouds
383,Henties Bay,NA,-22.116,14.2845,60.55,86,19,14.23,few clouds
384,Severobaykalsk,RU,55.65,109.3167,18.46,81,94,5.88,overcast clouds
385,Jalu,LY,29.0331,21.5482,86.9,9,0,13.29,clear sky
386,Battle Creek,US,42.3212,-85.1797,80.06,36,0,17.27,clear sky
387,Erenhot,CN,43.6475,111.9767,53.76,33,71,4.38,broken clouds
388,Mount Isa,AU,-20.7333,139.5,67.77,100,100,5.75,overcast clouds
389,Pangnirtung,CA,66.1451,-65.7125,14.88,75,7,3.44,clear sky
390,Oranjemund,NA,-28.55,16.4333,56.37,85,1,18.01,clear sky
391,Rafraf,TN,37.1904,10.1837,82.71,47,3,8.52,clear sky
392,Souillac,MU,-20.5167,57.5167,75.58,78,75,17.27,light rain
393,Clarence Town,AU,-32.5833,151.7833,61.86,92,78,0.67,broken clouds
394,Kyshtovka,RU,56.555,76.6271,24.94,86,96,9.91,overcast clouds
395,Omsukchan,RU,62.5333,155.8,-1.8,100,83,4.18,broken clouds
396,Rocha,UY,-34.4833,-54.3333,70.02,27,0,10.8,clear sky
397,Ugoofaaru,MV,5.6667,73.0,84.92,72,96,7.83,overcast clouds
398,Lisala,CD,2.15,21.5167,79.45,71,83,1.74,broken clouds
399,Launceston,AU,-41.45,147.1667,45.16,93,14,5.75,few clouds
400,Vermilion,US,40.1667,-87.7506,81.19,46,0,27.63,clear sky
401,Kyren,RU,51.6828,102.1408,27.0,80,16,0.49,few clouds
402,Soavinandriana,MG,-19.1667,46.7333,59.9,92,100,7.34,overcast clouds
403,Galesong,ID,-5.3166,119.3661,78.82,87,23,6.24,few clouds
404,Asau,RO,46.4333,26.4,54.95,94,77,2.01,broken clouds
405,Jumla,NP,29.2747,82.1838,51.26,50,32,3.89,scattered clouds
406,Tacoronte,ES,28.4769,-16.4102,61.39,69,75,8.05,broken clouds
407,Clarksville,US,36.5298,-87.3595,81.34,42,0,13.8,clear sky
408,Mandalgovi,MN,45.7625,106.2708,43.23,34,51,3.38,broken clouds
409,Palmas,BR,-10.2128,-48.3603,85.87,74,40,3.44,scattered clouds
410,Parli,IN,18.8486,76.5297,91.24,32,66,7.54,broken clouds
411,Sibi,PK,29.5448,67.8764,91.17,10,75,2.21,broken clouds
412,Santiago,CL,-33.4569,-70.6483,77.29,43,40,6.91,haze
413,Terrace,CA,54.5163,-128.6035,46.31,76,100,4.61,overcast clouds
414,Ozieri,IT,40.586,9.0012,59.18,72,51,9.4,broken clouds
415,Santa Ines,BR,-3.6667,-45.38,79.25,87,100,1.14,light rain
416,Namibe,AO,-15.1961,12.1522,72.14,79,80,14.0,broken clouds
417,Kenai,US,60.5544,-151.2583,44.69,81,20,10.36,few clouds
418,Okhotsk,RU,59.3833,143.3,18.0,95,21,4.29,few clouds
419,Belmonte,BR,-15.8631,-38.8828,84.24,66,87,7.29,overcast clouds
420,Ulaanbaatar,MN,47.9077,106.8832,24.93,63,0,2.24,clear sky
421,Mega,ET,4.05,38.3,63.46,78,92,10.0,overcast clouds
422,Gwadar,PK,25.1216,62.3254,81.55,81,100,6.08,overcast clouds
423,Sao Domingos,BR,-13.3983,-46.3183,92.23,31,42,2.1,scattered clouds
424,Melfi,IT,40.9965,15.6514,59.56,73,0,5.17,clear sky
425,Virginia Beach,US,36.8529,-75.978,78.85,52,40,11.5,scattered clouds
426,Laem Sing,TH,12.4816,102.0738,86.14,81,7,5.88,clear sky
427,Chumikan,RU,54.7183,135.315,21.63,94,99,12.08,overcast clouds
428,Faya,SA,18.3851,42.4509,63.12,51,41,1.19,scattered clouds
429,Taraz,KZ,42.9,71.3667,63.01,72,100,8.95,overcast clouds
430,Barh,IN,25.4833,85.7167,89.98,13,0,7.65,clear sky
431,Avera,US,33.194,-82.5271,77.38,53,2,9.44,clear sky
432,Florianopolis,BR,-27.6146,-48.5012,78.62,72,40,12.66,scattered clouds
433,Grand Gaube,MU,-20.0064,57.6608,76.37,74,40,7.0,scattered clouds
434,Huarmey,PE,-10.0681,-78.1522,72.7,76,19,10.25,few clouds
435,Black River,JM,18.0264,-77.8487,81.55,69,91,6.17,overcast clouds
436,Mareeba,AU,-17.0,145.4333,72.32,94,100,7.02,overcast clouds
437,Topolobampo,MX,25.6,-109.05,76.91,65,40,3.44,scattered clouds
438,Muros,ES,42.7762,-9.0603,58.68,72,87,11.81,overcast clouds
439,Chapais,CA,49.7834,-74.8492,30.33,60,30,5.08,scattered clouds
440,Qasigiannguit,GL,68.8193,-51.1922,26.85,86,100,3.0,overcast clouds
441,Urumqi,CN,43.801,87.6005,63.55,30,0,4.47,clear sky
442,Chuy,UY,-33.6971,-53.4616,67.53,38,0,10.38,clear sky
443,Tiznit,MA,29.5833,-9.5,60.21,58,69,14.76,broken clouds
444,Ilulissat,GL,69.2167,-51.1,26.62,93,75,9.22,light shower snow
445,Central Point,US,42.376,-122.9164,54.0,72,0,3.44,clear sky
446,Bubaque,GW,11.2833,-15.8333,77.63,74,68,18.1,broken clouds
447,Parkes,AU,-33.1333,148.1833,57.34,73,37,1.01,scattered clouds
448,Powell,US,40.1578,-83.0752,82.67,46,0,11.5,clear sky
449,Johnstown,US,40.3267,-78.922,78.44,41,0,10.36,clear sky
450,San Quintin,MX,30.4833,-115.95,60.76,59,1,8.9,clear sky
451,Ondjiva,AO,-17.0667,15.7333,72.57,37,82,5.37,broken clouds
452,Buin,CL,-33.7333,-70.75,71.87,32,1,5.75,clear sky
453,Miramar,US,25.9873,-80.2323,84.22,66,75,17.27,broken clouds
454,Riyadh,SA,24.6877,46.7219,89.74,14,4,13.44,clear sky
455,Balkanabat,TM,39.5108,54.3671,68.52,51,5,8.84,clear sky
456,Nakhon Ratchasima,TH,15.0,102.1667,87.06,98,42,7.7,scattered clouds
457,Ghanzi,BW,-21.5667,21.7833,70.66,40,46,6.91,scattered clouds
458,Lieto,FI,60.5103,22.4618,50.22,54,0,12.66,clear sky
459,Yekaterinogradskaya,RU,43.7635,44.2317,56.61,57,73,7.9,broken clouds
